name,abilities,type1,type2,is_legendary,japanese_name,hp,attack,defense,sp_attack,sp_defense,speed,base_total,classification,generation,base_egg_steps,height_m,weight_kg,base_happiness,capture_rate,experience_growth,percentage_male,pokedex_number,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Bulbasaur,"['Overgrow', 'Chlorophyll']",grass,poison,0,Fushigidane,45,49,49,65,65,45,318,Seed Pokémon,1,20,0.7,6.9,70,45,1059860,87.5,1,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Ivysaur,"['Overgrow', 'Chlorophyll']",grass,poison,0,Fushigisou,60,62,63,80,80,60,405,Seed Pokémon,1,20,1.0,13.0,70,45,1059860,87.5,2,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Venusaur,"['Overgrow', 'Chlorophyll', 'Thick Fat']",grass,poison,0,Fushigibana,80,82,83,100,100,80,525,Seed Pokémon,1,20,2.0,100.0,70,45,1059860,87.5,3,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Charmander,"['Blaze', 'Solar Power']",fire,,0,Hitokage,39,52,43,60,50,65,309,Lizard Pokémon,1,20,0.6,8.5,70,45,1059860,87.5,4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Charmeleon,"['Blaze', 'Solar Power']",fire,,0,Lizardo,58,64,58,80,65,80,405,Flame Pokémon,1,20,1.1,19.0,70,45,1059860,87.5,5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Charizard,"['Blaze', 'Solar Power', 'Tough Claws', 'Drought']",fire,flying,0,Lizardon,78,84,78,109,85,100,534,Flame Pokémon,1,20,1.7,90.5,70,45,1059860,87.5,6,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Squirtle,"['Torrent', 'Rain Dish']",water,,0,Zenigame,44,48,65,50,64,43,314,Tiny Turtle Pokémon,1,20,0.5,9.0,70,45,1059860,87.5,7,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Wartortle,"['Torrent', 'Rain Dish']",water,,0,Kameil,59,63,80,65,80,58,405,Turtle Pokémon,1,20,1.0,22.5,70,45,1059860,87.5,8,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Blastoise,"['Torrent', 'Rain Dish', 'Mega Launcher']",water,,0,Kamex,79,83,100,85,105,78,530,Shellfish Pokémon,1,20,1.6,85.5,70,45,1059860,87.5,9,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Caterpie,"['Shield Dust', 'Run Away']",bug,,0,Caterpie,45,30,35,20,20,45,195,Worm Pokémon,1,15,0.3,2.9,70,255,1000000,50,10,1.0,1.0,1.0,1.0,1.0,0.5,2,2,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
